epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.397,1.04474,0.67193,0.81143,0.88935,0.89144,0.94817,0.71912,0.85809,0.72338,0.79854,0.0673598,0.000164021,0.000164021
2,260.424,0.99287,0.63355,0.80743,0.92483,0.89847,0.96001,0.72425,0.85828,0.61643,0.79885,0.0341898,0.000327414,0.000327414
3,454.695,1.001,0.6285,0.80802,0.90177,0.81348,0.86677,0.60969,0.99731,0.60414,0.80379,0.00101661,0.000487507,0.000487507
4,612.751,1.01852,0.62518,0.80964,0.92156,0.90405,0.96096,0.74046,0.82723,0.55675,0.79997,0.00048515,0.00048515,0.00048515
5,759.826,0.98888,0.60885,0.80721,0.92623,0.90236,0.9626,0.71157,0.90676,0.55471,0.79986,0.0004802,0.0004802,0.0004802
6,897.315,0.97862,0.59881,0.80412,0.92033,0.90757,0.96188,0.74988,0.80496,0.52765,0.79821,0.00047525,0.00047525,0.00047525
7,1027.51,0.95407,0.581,0.80305,0.92516,0.9066,0.96546,0.76193,0.77342,0.51886,0.79614,0.0004703,0.0004703,0.0004703
8,127.663,0.94597,0.62073,0.80572,0.90892,0.88939,0.95673,0.7292,0.86541,0.57497,0.80332,0.00046535,0.00046535,0.00046535
9,234.557,0.94315,0.58142,0.8038,0.92652,0.9033,0.9635,0.73506,0.8553,0.54447,0.79817,0.0004604,0.0004604,0.0004604
10,336.642,0.91832,0.55891,0.80224,0.92373,0.91676,0.96769,0.76261,0.78461,0.50982,0.7958,0.00045545,0.00045545,0.00045545
11,434.361,0.95481,0.56265,0.80533,0.92541,0.9098,0.96663,0.76569,0.76893,0.51355,0.79533,0.0004505,0.0004505,0.0004505
12,548.288,0.92539,0.55293,0.80137,0.93177,0.9106,0.96827,0.74673,0.83608,0.51502,0.7962,0.00044555,0.00044555,0.00044555
13,671.55,0.90879,0.54265,0.7995,0.92273,0.91341,0.9664,0.76397,0.77929,0.50282,0.79606,0.0004406,0.0004406,0.0004406
14,783.117,0.86489,0.52673,0.79775,0.92405,0.91531,0.96824,0.76838,0.76161,0.49431,0.79348,0.00043565,0.00043565,0.00043565
15,893.951,0.90601,0.54102,0.80078,0.92353,0.91353,0.96614,0.75712,0.80329,0.50468,0.79525,0.0004307,0.0004307,0.0004307
16,1002.99,0.8691,0.52263,0.79992,0.93427,0.91036,0.96927,0.76851,0.76763,0.49427,0.79331,0.00042575,0.00042575,0.00042575
17,1113.56,0.85317,0.51644,0.79974,0.93369,0.91334,0.9702,0.78585,0.71733,0.47365,0.79239,0.0004208,0.0004208,0.0004208
18,1229.37,0.8306,0.50799,0.79634,0.92642,0.92446,0.97016,0.78616,0.72527,0.46167,0.79169,0.00041585,0.00041585,0.00041585
19,1342.88,0.83747,0.51297,0.79685,0.92673,0.92115,0.97079,0.78473,0.72854,0.47374,0.79225,0.0004109,0.0004109,0.0004109
20,1438.93,0.84253,0.51509,0.79788,0.92546,0.92156,0.97155,0.79177,0.70876,0.47405,0.79083,0.00040595,0.00040595,0.00040595
21,1544.11,0.81994,0.50472,0.79579,0.92821,0.91886,0.9699,0.78859,0.71461,0.47103,0.79199,0.000401,0.000401,0.000401
22,1654.32,0.84975,0.50776,0.79641,0.93447,0.91085,0.97143,0.79126,0.71155,0.47488,0.79155,0.00039605,0.00039605,0.00039605
23,1752.78,0.82486,0.49542,0.79571,0.93209,0.91897,0.97218,0.79703,0.69378,0.453,0.79017,0.0003911,0.0003911,0.0003911
24,1847.95,0.81704,0.49051,0.79604,0.91464,0.91843,0.9686,0.79005,0.7004,0.48064,0.79129,0.00038615,0.00038615,0.00038615
25,1952.55,0.8168,0.49537,0.79477,0.93474,0.91634,0.97092,0.79137,0.71486,0.466,0.79212,0.0003812,0.0003812,0.0003812
26,2055.36,0.82699,0.49337,0.795,0.92822,0.90818,0.96772,0.76742,0.75863,0.48144,0.79396,0.00037625,0.00037625,0.00037625
27,2164.89,0.80488,0.47954,0.79377,0.93106,0.91902,0.97186,0.80188,0.67793,0.44732,0.78978,0.0003713,0.0003713,0.0003713
28,2274.07,0.8071,0.48412,0.79428,0.92033,0.90689,0.96741,0.79133,0.69319,0.4813,0.79071,0.00036635,0.00036635,0.00036635
29,2403.52,0.8174,0.48754,0.79495,0.93137,0.91945,0.97172,0.80092,0.683,0.44715,0.78951,0.0003614,0.0003614,0.0003614
30,2529.22,0.78932,0.47691,0.79496,0.92408,0.91164,0.96665,0.79536,0.69465,0.46887,0.79064,0.00035645,0.00035645,0.00035645
31,2629.92,0.79378,0.48316,0.79375,0.92505,0.9266,0.97163,0.8055,0.67863,0.43871,0.78969,0.0003515,0.0003515,0.0003515
32,2726.1,0.80064,0.4784,0.79457,0.9397,0.91583,0.97293,0.80124,0.68921,0.44866,0.78943,0.00034655,0.00034655,0.00034655
33,2836.91,0.79918,0.48135,0.7932,0.93334,0.91753,0.97107,0.80293,0.67364,0.44962,0.78898,0.0003416,0.0003416,0.0003416
34,98.9107,0.80105,0.4859,0.79455,0.92738,0.9138,0.96794,0.78496,0.72179,0.47406,0.79144,0.00033665,0.00033665,0.00033665
35,195.72,0.79354,0.47566,0.79416,0.93243,0.92307,0.97506,0.80811,0.67138,0.43727,0.78941,0.0003317,0.0003317,0.0003317
36,291.917,0.77921,0.46616,0.7933,0.93209,0.91574,0.9719,0.8061,0.67511,0.44244,0.78901,0.00032675,0.00032675,0.00032675
37,385.289,0.77552,0.46209,0.79376,0.93176,0.92396,0.97358,0.80814,0.67293,0.43762,0.78969,0.0003218,0.0003218,0.0003218
38,476.655,0.7773,0.46585,0.79239,0.934,0.92837,0.97382,0.80851,0.66826,0.42828,0.78864,0.00031685,0.00031685,0.00031685
39,605.015,0.77917,0.46072,0.79079,0.93599,0.92371,0.97271,0.81052,0.66527,0.42415,0.78852,0.0003119,0.0003119,0.0003119
40,109.248,0.76188,0.46281,0.79197,0.93308,0.90483,0.95969,0.7663,0.77018,0.4718,0.79781,0.00030695,0.00030695,0.00030695
41,100.085,0.75671,0.45519,0.79058,0.89321,0.88913,0.95317,0.77927,0.69744,0.52435,0.79197,0.000302,0.000302,0.000302
42,201.894,0.77879,0.46451,0.7927,0.9279,0.9223,0.97144,0.80458,0.67321,0.44684,0.7893,0.00029705,0.00029705,0.00029705
43,297.576,0.77317,0.45645,0.7923,0.93211,0.92267,0.97244,0.80467,0.67831,0.43956,0.7882,0.0002921,0.0002921,0.0002921
44,122.058,0.75339,0.44185,0.79034,0.93578,0.91618,0.96992,0.80363,0.68006,0.43507,0.78998,0.00028715,0.00028715,0.00028715
45,221.769,0.75315,0.43833,0.79023,0.93002,0.9204,0.97005,0.80523,0.66435,0.44098,0.78761,0.0002822,0.0002822,0.0002822
46,316.838,0.75122,0.43276,0.79035,0.93192,0.91803,0.97059,0.80604,0.67303,0.44569,0.78796,0.00027725,0.00027725,0.00027725
47,409.475,0.75689,0.44803,0.79204,0.93009,0.92658,0.97202,0.81,0.66656,0.43517,0.78835,0.0002723,0.0002723,0.0002723
48,501.496,0.75906,0.45427,0.79087,0.93566,0.92075,0.97331,0.81354,0.65993,0.42842,0.7876,0.00026735,0.00026735,0.00026735
49,617.327,0.75945,0.44518,0.78917,0.93507,0.91313,0.96988,0.80442,0.6801,0.44177,0.78961,0.0002624,0.0002624,0.0002624
50,731.491,0.76585,0.45205,0.79029,0.93442,0.92473,0.97279,0.80909,0.66058,0.42734,0.78671,0.00025745,0.00025745,0.00025745
51,832.693,0.7594,0.44979,0.79148,0.92982,0.9213,0.97285,0.81241,0.65453,0.42967,0.78729,0.0002525,0.0002525,0.0002525
52,930.458,0.75868,0.44873,0.79086,0.93791,0.92198,0.97461,0.81629,0.656,0.42361,0.78714,0.00024755,0.00024755,0.00024755
53,1035.31,0.75431,0.44912,0.79225,0.93574,0.92678,0.97452,0.81043,0.66706,0.4257,0.78807,0.0002426,0.0002426,0.0002426
