epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.2459,1.27713,1.26996,0.84125,0.8748,0.44347,0.64967,0.34789,1.78621,3.61306,0.88531,0.0677674,0.000325581,0.000325581
2,183.437,1.09327,0.65877,0.82506,0.46683,0.99098,0.93315,0.62586,1.13029,2.28157,0.8328,0.0347642,0.000655653,0.000655653
3,317.628,1.0843,0.60099,0.81861,0.84454,0.83429,0.86504,0.51528,1.28959,0.95084,0.84085,0.00175762,0.000982425,0.000982425
4,459.569,1.02052,0.56344,0.81206,0.94695,0.95229,0.98437,0.76639,0.82106,0.49129,0.80244,0.00098515,0.00098515,0.00098515
5,600.731,0.94994,0.53111,0.80919,0.94318,0.9526,0.98333,0.77582,0.7846,0.46777,0.80062,0.0009802,0.0009802,0.0009802
6,725.162,0.99591,0.5326,0.80832,0.94825,0.94307,0.98395,0.75314,0.8596,0.49439,0.80428,0.00097525,0.00097525,0.00097525
7,843.774,0.96369,0.51858,0.80859,0.9489,0.95577,0.98425,0.78215,0.78162,0.45394,0.79929,0.0009703,0.0009703,0.0009703
8,959.854,0.92633,0.50404,0.80657,0.95432,0.95708,0.98647,0.79775,0.76718,0.43862,0.80153,0.00096535,0.00096535,0.00096535
9,1072.96,0.90126,0.49141,0.80573,0.952,0.95971,0.98657,0.79496,0.77503,0.44923,0.79799,0.0009604,0.0009604,0.0009604
10,1175.45,0.91958,0.49894,0.80726,0.93718,0.94977,0.98157,0.73138,0.92926,0.49814,0.80791,0.00095545,0.00095545,0.00095545
11,1287.08,0.87254,0.48196,0.80345,0.95344,0.95428,0.98557,0.79397,0.77332,0.439,0.79885,0.0009505,0.0009505,0.0009505
12,1399.1,0.8753,0.47006,0.80081,0.95163,0.96093,0.98644,0.80377,0.74052,0.42415,0.79606,0.00094555,0.00094555,0.00094555
13,1518.58,0.88664,0.47545,0.80187,0.95252,0.95518,0.98635,0.7505,0.90492,0.45848,0.80179,0.0009406,0.0009406,0.0009406
14,1634.77,0.87546,0.47282,0.79853,0.95525,0.95268,0.98446,0.81981,0.68724,0.40524,0.79546,0.00093565,0.00093565,0.00093565
15,1778.37,0.83726,0.45876,0.80102,0.94753,0.96113,0.98513,0.80746,0.70358,0.41905,0.79558,0.0009307,0.0009307,0.0009307
16,1903.26,0.8454,0.45487,0.79853,0.95795,0.95109,0.98345,0.80796,0.72654,0.40407,0.79822,0.00092575,0.00092575,0.00092575
17,2012.55,0.85236,0.45548,0.79771,0.94781,0.95508,0.98328,0.79648,0.75267,0.43126,0.7985,0.0009208,0.0009208,0.0009208
18,2129.58,0.81698,0.44562,0.79577,0.95271,0.9589,0.98642,0.82095,0.69227,0.39981,0.79533,0.00091585,0.00091585,0.00091585
19,2236.54,0.82326,0.45839,0.79751,0.9572,0.95964,0.9869,0.81485,0.69742,0.40626,0.79467,0.0009109,0.0009109,0.0009109
20,2357.29,0.83812,0.45135,0.79764,0.95551,0.95843,0.98688,0.8275,0.67548,0.39201,0.79641,0.00090595,0.00090595,0.00090595
21,2466.64,0.82288,0.44374,0.7964,0.95708,0.95536,0.98724,0.83335,0.67519,0.39268,0.79521,0.000901,0.000901,0.000901
22,2591.92,0.8206,0.43856,0.7961,0.95899,0.95716,0.98725,0.82997,0.67765,0.38753,0.79191,0.00089605,0.00089605,0.00089605
23,2691.05,0.85078,0.4407,0.79491,0.95862,0.95498,0.98735,0.81601,0.71571,0.38877,0.79308,0.0008911,0.0008911,0.0008911
24,2788.32,0.83485,0.43496,0.79581,0.95861,0.95316,0.9873,0.81869,0.70265,0.38873,0.79246,0.00088615,0.00088615,0.00088615
25,2890.46,0.8188,0.43302,0.79628,0.96004,0.95543,0.98788,0.83098,0.67887,0.38564,0.79217,0.0008812,0.0008812,0.0008812
26,2996.14,0.80249,0.4299,0.79408,0.95682,0.96013,0.98802,0.83826,0.64533,0.37337,0.79102,0.00087625,0.00087625,0.00087625
27,3102.22,0.77945,0.42178,0.79361,0.9539,0.96233,0.98782,0.83417,0.66634,0.37336,0.79218,0.0008713,0.0008713,0.0008713
28,3209.68,0.79863,0.4254,0.79227,0.95601,0.96113,0.98832,0.84204,0.65231,0.37771,0.7906,0.00086635,0.00086635,0.00086635
29,3317.1,0.79479,0.42691,0.79279,0.95573,0.96121,0.98763,0.81884,0.71168,0.39308,0.7933,0.0008614,0.0008614,0.0008614
30,3429.11,0.77631,0.41849,0.7937,0.95238,0.96389,0.98767,0.83104,0.66844,0.37408,0.79142,0.00085645,0.00085645,0.00085645
31,3531.15,0.77906,0.41995,0.79247,0.95907,0.96192,0.98826,0.8362,0.65297,0.37365,0.7909,0.0008515,0.0008515,0.0008515
32,3614.22,0.78832,0.42446,0.79458,0.95631,0.95937,0.98733,0.83736,0.64315,0.37294,0.79064,0.00084655,0.00084655,0.00084655
33,3724.47,0.76915,0.41502,0.79216,0.95292,0.96536,0.98801,0.8425,0.6427,0.3715,0.79059,0.0008416,0.0008416,0.0008416
34,3813.05,0.78258,0.42745,0.79543,0.95288,0.96068,0.98722,0.83584,0.6603,0.38021,0.7928,0.00083665,0.00083665,0.00083665
35,3898.94,0.79394,0.41742,0.79036,0.9561,0.96004,0.98712,0.84078,0.64269,0.36855,0.79113,0.0008317,0.0008317,0.0008317
36,3986.27,0.77922,0.41538,0.79327,0.95633,0.9643,0.98821,0.83953,0.64398,0.37393,0.78955,0.00082675,0.00082675,0.00082675
37,4088.51,0.77704,0.41199,0.79326,0.95467,0.96277,0.98742,0.83827,0.65704,0.3723,0.79001,0.0008218,0.0008218,0.0008218
38,4187.81,0.79179,0.42063,0.79146,0.95449,0.96301,0.98745,0.84334,0.6387,0.36869,0.7908,0.00081685,0.00081685,0.00081685
39,4274.73,0.77364,0.45409,0.79241,0.95372,0.9641,0.98769,0.84725,0.62227,0.35932,0.79013,0.0008119,0.0008119,0.0008119
40,4376.82,0.78398,0.41366,0.79241,0.95451,0.96212,0.98804,0.84303,0.63588,0.36171,0.79001,0.00080695,0.00080695,0.00080695
41,4460.24,0.77362,0.41013,0.79229,0.95685,0.96172,0.98778,0.83623,0.65093,0.36401,0.79293,0.000802,0.000802,0.000802
42,4544.57,0.74965,0.40148,0.79212,0.95474,0.9647,0.98828,0.84757,0.61669,0.36003,0.78903,0.00079705,0.00079705,0.00079705
43,4628.75,0.7796,0.41632,0.79067,0.95631,0.95984,0.98731,0.84636,0.62819,0.36465,0.78999,0.0007921,0.0007921,0.0007921
44,4725.39,0.77375,0.40966,0.79086,0.95834,0.96277,0.988,0.85221,0.61447,0.35379,0.78885,0.00078715,0.00078715,0.00078715
45,4819.83,0.76249,0.40489,0.78956,0.95542,0.96132,0.98798,0.84953,0.62511,0.35965,0.78926,0.0007822,0.0007822,0.0007822
46,4898.38,0.76105,0.4108,0.79066,0.96086,0.95907,0.9886,0.84619,0.63371,0.36367,0.78847,0.00077725,0.00077725,0.00077725
47,4985.35,0.76099,0.40251,0.79081,0.96066,0.95795,0.98807,0.83651,0.64181,0.36261,0.78981,0.0007723,0.0007723,0.0007723
48,5071.51,0.74156,0.39541,0.79037,0.95662,0.96251,0.98843,0.849,0.62779,0.35098,0.79011,0.00076735,0.00076735,0.00076735
49,5182.84,0.76871,0.40298,0.79179,0.9579,0.95726,0.98735,0.83748,0.65172,0.36519,0.7901,0.0007624,0.0007624,0.0007624
50,5260.02,0.75167,0.39993,0.78967,0.96116,0.95949,0.98746,0.84917,0.61497,0.35278,0.78865,0.00075745,0.00075745,0.00075745
51,5344.57,0.74327,0.39896,0.78969,0.956,0.96172,0.98847,0.8512,0.61433,0.35516,0.78969,0.0007525,0.0007525,0.0007525
52,5428.83,0.74428,0.39745,0.79086,0.95673,0.96265,0.98797,0.84973,0.6246,0.35835,0.78848,0.00074755,0.00074755,0.00074755
53,5520.35,0.75493,0.40595,0.78997,0.96171,0.96149,0.98845,0.84626,0.62586,0.35498,0.78912,0.0007426,0.0007426,0.0007426
54,5635.73,0.78629,0.40984,0.79154,0.9593,0.96061,0.98875,0.85434,0.61038,0.34845,0.78935,0.00073765,0.00073765,0.00073765
55,5717.52,0.7442,0.39442,0.7891,0.95683,0.9647,0.98854,0.85732,0.59733,0.34485,0.78854,0.0007327,0.0007327,0.0007327
56,5806.58,0.75682,0.39905,0.78975,0.95456,0.9624,0.98831,0.84719,0.62627,0.35969,0.78849,0.00072775,0.00072775,0.00072775
57,5898.05,0.74707,0.39653,0.78862,0.96064,0.95805,0.98783,0.84517,0.62615,0.35678,0.78791,0.0007228,0.0007228,0.0007228
56,103.082,0.74879,0.40468,0.79234,0.95791,0.96036,0.98792,0.84928,0.61753,0.35058,0.79145,0.00072775,0.00072775,0.00072775
57,203.338,0.77974,0.40901,0.79183,0.95795,0.9607,0.98779,0.83946,0.64698,0.3664,0.79115,0.0007228,0.0007228,0.0007228
58,303.475,0.74809,0.39564,0.79175,0.96273,0.95843,0.98821,0.84997,0.60933,0.34605,0.78978,0.00071785,0.00071785,0.00071785
59,398.768,0.73653,0.39234,0.7913,0.96367,0.95626,0.98824,0.85611,0.60705,0.33926,0.79038,0.0007129,0.0007129,0.0007129
60,508.952,0.74514,0.39345,0.78972,0.9612,0.96063,0.98854,0.85511,0.59908,0.3476,0.78874,0.00070795,0.00070795,0.00070795
61,97.4423,0.73826,0.39736,0.79048,0.96315,0.95748,0.98833,0.85719,0.59976,0.33746,0.79115,0.000703,0.000703,0.000703
62,194.793,0.74227,0.39051,0.78954,0.96197,0.96071,0.98814,0.85503,0.60511,0.34063,0.78997,0.00069805,0.00069805,0.00069805
63,291.608,0.73256,0.38776,0.78972,0.95667,0.9622,0.98739,0.85152,0.60293,0.34626,0.78932,0.0006931,0.0006931,0.0006931
64,385.521,0.71735,0.38355,0.78915,0.9591,0.96228,0.98794,0.85168,0.61229,0.34374,0.79031,0.00068815,0.00068815,0.00068815
65,483.965,0.72204,0.38772,0.78763,0.96062,0.96254,0.98844,0.85446,0.61233,0.35219,0.78948,0.0006832,0.0006832,0.0006832
66,587.815,0.7428,0.39431,0.78861,0.95962,0.96273,0.98846,0.8568,0.60164,0.34297,0.78981,0.00067825,0.00067825,0.00067825
67,692.082,0.7424,0.39428,0.78845,0.96111,0.96235,0.9892,0.857,0.60467,0.34315,0.78898,0.0006733,0.0006733,0.0006733
68,793.536,0.73878,0.38758,0.7899,0.96449,0.96027,0.98902,0.85852,0.59645,0.34009,0.78823,0.00066835,0.00066835,0.00066835
69,893.975,0.73114,0.38383,0.78916,0.95839,0.96246,0.9889,0.86076,0.59396,0.33744,0.78848,0.0006634,0.0006634,0.0006634
70,992.876,0.72427,0.38423,0.78982,0.9583,0.96377,0.98878,0.85684,0.5989,0.33997,0.789,0.00065845,0.00065845,0.00065845
71,100.37,0.77934,0.51981,0.79987,0.95606,0.95966,0.98643,0.84468,0.64102,0.40034,0.79853,0.0006535,0.0006535,0.0006535
72,104.019,0.72699,0.42535,0.79175,0.95541,0.95973,0.98788,0.83312,0.63366,0.37501,0.7936,0.00064855,0.00064855,0.00064855
73,215.493,0.74456,0.40112,0.7917,0.95434,0.96569,0.98811,0.84872,0.61194,0.34862,0.79054,0.0006436,0.0006436,0.0006436
74,316.11,0.72499,0.38682,0.79045,0.95729,0.96087,0.9881,0.8548,0.59205,0.34003,0.79067,0.00063865,0.00063865,0.00063865
72,104.774,0.72294,0.42361,0.79171,0.95719,0.96046,0.98805,0.84112,0.62288,0.36761,0.793,0.00064855,0.00064855,0.00064855
73,100.808,0.69616,0.3858,0.78926,0.95798,0.95943,0.98807,0.84605,0.63042,0.3533,0.79244,0.0006436,0.0006436,0.0006436
74,202.689,0.73474,0.39127,0.79606,0.95654,0.96499,0.98795,0.84743,0.61564,0.34418,0.79164,0.00063865,0.00063865,0.00063865
75,302.734,0.71976,0.3815,0.79012,0.95758,0.96228,0.98816,0.85576,0.58904,0.33565,0.79021,0.0006337,0.0006337,0.0006337
76,403.939,0.70712,0.37688,0.78982,0.95982,0.95844,0.98757,0.85451,0.6,0.33744,0.79077,0.00062875,0.00062875,0.00062875
77,529.219,0.71994,0.38152,0.78928,0.95868,0.96368,0.98783,0.85817,0.59718,0.33856,0.79009,0.0006238,0.0006238,0.0006238
78,636.661,0.7248,0.38217,0.78878,0.95738,0.96302,0.98795,0.85433,0.60157,0.33949,0.79047,0.00061885,0.00061885,0.00061885
79,742.669,0.73649,0.38598,0.79107,0.9597,0.96211,0.98868,0.86104,0.58914,0.33496,0.78908,0.0006139,0.0006139,0.0006139
80,1733.55,0.71519,0.37611,0.78958,0.95998,0.96333,0.98812,0.85875,0.59098,0.33772,0.78855,0.00060895,0.00060895,0.00060895
73,98.9609,0.69616,0.3858,0.78926,0.95798,0.95943,0.98807,0.84605,0.63042,0.3533,0.79244,0.0006436,0.0006436,0.0006436
74,200.03,0.73474,0.39127,0.79606,0.95654,0.96499,0.98795,0.84743,0.61564,0.34418,0.79164,0.00063865,0.00063865,0.00063865
75,299.965,0.71976,0.3815,0.79012,0.95758,0.96228,0.98816,0.85576,0.58904,0.33565,0.79021,0.0006337,0.0006337,0.0006337
