epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8877,4.39816,8.55759,1.98271,0,0,0,0,3.62384,4.16567,1.39111,0.0677021,0.000326241,0.000326241
2,165.9,2.3224,1.70465,1.13451,0.31303,0.00397,0.15897,0.09524,2.78812,4.61642,1.25833,0.0346956,0.000653045,0.000653045
3,281.491,2.14439,1.30342,1.04515,0.57541,0.35188,0.50563,0.19498,2.16871,1.97517,1.03816,0.00168247,0.000973248,0.000973248
