epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6095,1.28527,1.56303,0.83902,0.48177,0.14068,0.28175,0.13511,2.53088,3.74746,1.00521,0.0673598,0.000164021,0.000164021
2,232.855,1.1431,0.84226,0.82247,0.85777,0.78512,0.88215,0.59176,1.12205,1.29859,0.82982,0.0341898,0.000327414,0.000327414
3,389.663,1.08802,0.73363,0.81734,0.89432,0.83605,0.89571,0.65742,0.9189,0.66247,0.80719,0.00101661,0.000487507,0.000487507
4,546.026,1.02699,0.68209,0.81336,0.90806,0.89343,0.95112,0.71059,0.88195,0.60671,0.80567,0.00048515,0.00048515,0.00048515
